"","Nonparticipation","Half time","Full time"
"Austria",0.51,0.051,0.439
"Belgium",0.442,0.083,0.476
"Denmark",0.267,0.078,0.654
"France",0.396,0.052,0.552
"Germany",0.355,0.054,0.591
"Greece",0.299,0.158,0.543
"Italy",0.483,0.105,0.412
"Netherlands",0.336,0.097,0.566
"Spain",0.343,0.102,0.555
"Sweden",0.186,0.09,0.725
"Switzerland",0.174,0.115,0.711
"TOTAL",0.531,0.201,0.268
